ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento;Custo_aquisicao;Custo_reparos;Lucro;Data_entrada_estoque;Dias_estoque;Vendedor;Origem_lead;NPS_cliente;Status_pagamento
2342;Eduardo Santos;31;417.938.650-00;Masculino;Divorciado;mendesluiz-gustavo@example.net;11 6628-3970;Alves das Pedras;MS;Citroen;C3;2014;Vermelho;69454,82;2024-09-06;À vista;54039,02;8563,17;6852,63000000001;2023-12-24;257;Alexia Cavalcanti;Outros;10;Pago
2343;Caroline Viana;45;681.902.543-24;Feminino;Solteiro;omarques@example.com;+55 (084) 5725 9579;Nunes do Sul;TO;Jeep;Wrangler;2013;Vermelho;234302,26;2024-07-07;À vista;182833,69;9861,86;41606,71000000001;2024-04-27;71;Alexia Cavalcanti;Indicação;10;Pago
2344;Pietra Moura;20;680.795.241-49;Feminino;Viúvo;fguerra@example.com;+55 61 6763 9747;Jesus;PR;Fiat;Fiorino;2021;Preto;157058,61;2025-02-17;Leasing;130235,35;0,0;26823,25999999998;2024-03-20;334;Luna Lima;Site;4;Pago
2345;Emanuelly Caldeira;23;269.513.847-46;Feminino;Solteiro;ester49@example.net;+55 (021) 3307-6675;da Cunha;CE;Ford;Focus;2018;Branco;104789,35;2025-01-29;Financiamento;76472,91;0,0;28316,440000000002;2023-12-28;398;Davi Lucca Novaes;Busca Direta;2;Em Atraso
2346;Heloísa Cassiano;43;910.354.862-70;Feminino;Solteiro;ycarvalho@example.com;+55 (041) 0053 9637;Barros de Lopes;PI;Ford;Territory;2015;Preto;80091,84;2024-10-18;Leasing;64632,13;8796,81;6662,9;2023-06-14;492;Sra. Emanuelly da Cunha;Site;5;Em Atraso
2347;Aurora Cunha;65;367.509.824-92;Feminino;Casado;monteirovinicius@example.com;61 7969 4602;Vargas do Oeste;PI;Peugeot;208;2022;Cinza;191747,88;2024-07-18;Financiamento;167675,12;5757,42;18315,34000000001;2023-05-16;429;Ian Pereira;Site;3;Em Atraso
2348;Fernando da Luz;18;831.274.059-79;Masculino;Solteiro;britojoao-lucas@example.com;41 7896-3930;das Neves de da Cruz;TO;Honda;HR-V;2017;Branco;176383,42;2025-04-16;Financiamento;127769,09;3778,04;44836,290000000015;2023-10-21;543;Luana Santos;Feira;10;Cancelado
2349;Gabriela Camargo;23;809.241.536-60;Feminino;Casado;flopes@example.net;+55 84 8755-6101;Nascimento de Goiás;RO;Honda;CR-V;2017;Branco;196418,16;2025-01-24;Financiamento;145490,8;0,0;50927,360000000015;2024-11-13;72;Paulo Castro;Redes Sociais;1;Pago
2350;Natália da Paz;50;584.170.396-00;Feminino;Solteiro;da-motavinicius@example.com;(011) 8353-4950;Nunes;DF;Citroen;C3;2016;Verde;62873,98;2025-03-31;À vista;52310,65;0,0;10563,330000000002;2024-10-21;161;Luna Lima;Site;9;Pago
2351;Pedro Henrique Teixeira;41;605.183.497-48;Masculino;Casado;maria-lizleao@example.net;+55 (031) 1704 4860;Vasconcelos de Vargas;AM;Honda;HR-V;2022;Preto;46212,69;2025-02-03;Leasing;32383,84;0,0;13828,850000000002;2024-09-29;127;Ian Pereira;Outros;9;Pago
2352;Yasmin Rios;56;069.547.123-61;Feminino;Solteiro;arthur36@example.net;(031) 6397 6706;Peixoto;AP;Ford;Ka;2021;Prata;135803,0;2025-01-14;À vista;120105,85;6294,63;9402,519999999993;2024-07-18;180;Alexia Cavalcanti;Indicação;1;Pago
2353;Pietro Ribeiro;69;897.051.324-88;Masculino;Solteiro;liz79@example.com;(031) 9286-9621;Gonçalves;PI;Citroen;C3;2023;Vermelho;129081,96;2024-11-16;Financiamento;99419,24;0,0;29662,72;2023-11-14;368;Luna Lima;Outros;3;Em Atraso
2354;Mariane Cavalcante;46;947.823.510-97;Feminino;Casado;iansilva@example.com;31 8347 0235;Cassiano Grande;RN;Citroen;C4 Grand Picasso;2021;Azul;233159,21;2024-12-03;Consórcio;177800,5;7189,61;48169,09999999999;2024-11-07;26;Davi Lucca Novaes;Outros;6;Pago
2355;Ana Lívia Jesus;48;194.058.632-15;Feminino;Viúvo;noahmonteiro@example.org;(041) 3187-2922;Cirino;MT;Toyota;Etios;2020;Branco;73335,41;2025-01-29;Financiamento;62157,92;2781,52;8395,970000000005;2023-07-06;573;Dr. Renan Jesus;Busca Direta;4;Cancelado
2356;Maria Clara Jesus;44;105.269.437-34;Feminino;Viúvo;gferreira@example.com;+55 (021) 5854 0563;Câmara de Vieira;SE;Ford;Ranger;2013;Cinza;170804,27;2025-01-23;Financiamento;135881,41;0,0;34922,859999999986;2023-09-29;482;Sara Pinto;Site;10;Cancelado
2357;Isaque Casa Grande;60;602.417.853-08;Masculino;Solteiro;vinicius18@example.net;+55 61 8598-9749;Farias;PE;Ford;Territory;2022;Verde;147835,07;2024-08-19;À vista;126344,07;0,0;21491,0;2024-04-07;134;Ian Pereira;Indicação;3;Pago
2358;Yuri Vieira;53;532.786.910-59;Masculino;Divorciado;milena73@example.net;81 6857 0384;da Mata do Oeste;AL;Fiat;Toro;2018;Prata;147699,55;2024-11-14;Leasing;107271,06;1584,88;38843,60999999999;2024-05-19;179;Alexia Cavalcanti;Site;1;Pago
2359;Nathan da Luz;34;590.431.278-41;Masculino;Casado;isisalbuquerque@example.net;(061) 8345 5082;Barbosa;PE;Hyundai;HB20;2020;Branco;88520,64;2024-10-18;Leasing;67960,79;3837,25;16722,600000000006;2023-10-15;369;Davi Lucca Novaes;Site;1;Em Atraso
2360;Ana Luiza Câmara;34;019.342.865-24;Feminino;Viúvo;ilima@example.net;11 2430-4778;Vasconcelos dos Dourados;SE;Hyundai;Tucson;2013;Prata;68392,96;2024-11-04;Leasing;58851,07;6363,31;3178,5800000000063;2023-09-11;420;Luana Santos;Busca Direta;9;Cancelado
2361;Brenda Dias;26;039.451.762-80;Feminino;Viúvo;rsales@example.net;61 3889 2420;Garcia de Carvalho;MS;Ford;Ecosport;2019;Azul;136020,93;2024-09-03;Financiamento;104777,91;9308,01;21935,009999999987;2023-05-19;473;Davi Lucca Novaes;Site;6;Pago
2362;Maria Cecília Marques;36;286.307.945-00;Feminino;Casado;freitasbeatriz@example.org;0300-980-1620;Porto Grande;AP;Honda;CR-V;2015;Cinza;63871,21;2024-11-25;À vista;53206,88;579,49;10084,840000000002;2023-06-06;538;Sara Pinto;Indicação;3;Pago
2363;Antony da Rosa;63;728.591.406-11;Masculino;Casado;sdias@example.net;+55 (021) 7409-9710;da Luz;TO;Chevrolet;Prisma;2017;Branco;218745,55;2024-11-12;Financiamento;174365,78;0,0;44379,76999999999;2023-10-05;404;Paulo Castro;Busca Direta;8;Em Atraso
2364;André Gonçalves;53;064.512.983-60;Masculino;Solteiro;azevedosabrina@example.com;+55 (041) 4175 0485;Moura da Mata;PA;Peugeot;2008;2017;Cinza;162384,15;2024-05-09;Leasing;141882,12;1768,31;18733,719999999998;2023-10-08;214;Davi Lucca Novaes;Busca Direta;2;Em Atraso
2365;Thomas Pacheco;31;365.072.894-00;Masculino;Casado;aragaoantonella@example.com;0300-198-5503;Ramos do Oeste;RS;Peugeot;208;2013;Prata;101943,67;2024-09-10;À vista;89611,95;0,0;12331,720000000001;2024-06-29;73;Paulo Castro;Busca Direta;6;Pago
2366;Elisa Albuquerque;60;560.397.421-43;Feminino;Viúvo;cunhavinicius@example.org;0800-268-7516;Fernandes;RJ;Citroen;C4 Grand Picasso;2013;Vermelho;103576,98;2024-11-01;Financiamento;73775,12;903,94;28897,920000000002;2024-01-07;299;Emilly Gonçalves;Site;2;Em Atraso
2367;Isis da Cruz;23;594.863.720-47;Feminino;Casado;dcarvalho@example.org;+55 31 8607-0944;Caldeira;PI;Chevrolet;Tracker;2013;Vermelho;52452,13;2024-06-24;À vista;37048,26;7113,96;8289,909999999996;2024-01-30;146;Luana Santos;Indicação;1;Pago
2368;Theo Machado;37;921.475.830-14;Masculino;Viúvo;camaraana-vitoria@example.net;+55 71 6819-6779;Ferreira;DF;Citroen;Basalt;2013;Branco;59277,67;2024-12-21;À vista;41959,99;7068,37;10249,310000000001;2024-11-16;35;Davi Lucca Novaes;Outros;10;Pago
2369;Mariana Sousa;19;239.645.870-10;Feminino;Viúvo;kevin34@example.net;(011) 7407 0109;da Cunha;AC;Citroen;C4;2018;Vermelho;240166,79;2024-08-14;Consórcio;181085,07;9064,05;50017,67;2023-10-15;304;Sara Pinto;Indicação;8;Em Atraso
2370;Daniel Castro;29;027.893.546-00;Masculino;Divorciado;maria-luizada-rosa@example.org;+55 31 2001 8999;Gonçalves;RO;Fiat;Pulse;2023;Vermelho;61612,71;2024-05-20;À vista;51980,21;4676,49;4956,01;2024-01-04;137;Sra. Emanuelly da Cunha;Redes Sociais;1;Pago
2371;Yago Sales;25;530.978.614-75;Masculino;Viúvo;mmoura@example.net;+55 (051) 0625 4229;Viana;SC;Peugeot;308;2022;Branco;87640,69;2024-09-08;À vista;78123,61;8009,2;1507,880000000002;2023-10-14;330;Alexia Cavalcanti;Redes Sociais;6;Pago
2372;Pietra Silveira;21;675.014.829-85;Feminino;Divorciado;machadomatteo@example.com;(084) 1061 6108;Mendes do Galho;MG;Peugeot;208;2023;Prata;198850,07;2024-09-07;À vista;165777,58;9418,49;23654,000000000022;2023-12-29;253;Sra. Emanuelly da Cunha;Site;8;Pago
2373;Joaquim Fonseca;66;369.412.705-43;Masculino;Viúvo;yfarias@example.com;+55 71 1295-6663;Rodrigues;PB;Honda;Fit;2013;Vermelho;87123,27;2024-10-15;Financiamento;70477,43;9466,94;7178,900000000011;2023-05-10;524;Dr. Renan Jesus;Outros;6;Cancelado
2374;Ágatha Nogueira;22;512.784.960-76;Feminino;Casado;bcavalcante@example.net;+55 71 2925-6291;Andrade;CE;Citroen;C4 Grand Picasso;2017;Vermelho;123615,49;2024-05-07;Financiamento;105206,9;4145,16;14263,430000000011;2024-01-30;98;Luna Lima;Redes Sociais;1;Cancelado
2375;Pedro Henrique Ferreira;31;690.431.857-01;Masculino;Solteiro;silvarenan@example.org;81 3119-7801;Gomes de Novais;PI;Citroen;C4 Grand Picasso;2013;Azul;182358,47;2024-06-18;À vista;143479,93;0,0;38878,54000000001;2023-11-09;222;Luna Lima;Outros;10;Pago
2376;Liz Albuquerque;58;746.089.513-00;Feminino;Casado;sampaioisis@example.net;0300-016-4736;Brito;CE;Volskwagen;Voyage;2021;Prata;192013,82;2024-07-12;Leasing;151515,56;0,0;40498,26000000001;2024-03-15;119;Luna Lima;Outros;5;Cancelado
2377;Nicolas Aparecida;23;805.297.361-95;Masculino;Solteiro;kcastro@example.org;+55 (041) 9535 7465;Farias;PI;Citroen;Basalt;2013;Cinza;70907,76;2024-04-26;Leasing;54029,83;7067,87;9810,059999999994;2024-03-22;35;Sra. Emanuelly da Cunha;Redes Sociais;10;Cancelado
2378;Antonella Brito;30;923.748.605-74;Feminino;Viúvo;brunosa@example.com;+55 (021) 8764 8657;Barros;AP;Peugeot;2008;2018;Azul;105482,85;2024-07-12;À vista;75780,8;0,0;29702,050000000003;2023-07-20;358;Paulo Castro;Redes Sociais;9;Pago
2379;Davi Lucas da Rosa;33;693.541.782-19;Masculino;Divorciado;enrico88@example.net;(081) 0164 8309;Vargas;AC;Volskwagen;Saveiro;2021;Branco;246982,14;2025-02-28;Financiamento;182888,29;6743,27;57350,58;2024-02-18;376;Emilly Gonçalves;Site;3;Pago
2380;Stella Lopes;18;761.529.043-07;Feminino;Solteiro;mateusgomes@example.net;+55 31 0325-3202;Garcia;RR;Ford;Focus;2018;Cinza;115399,16;2025-04-10;Financiamento;97357,69;0,0;18041,47;2023-05-03;708;Ian Pereira;Busca Direta;2;Pago
2381;Esther Montenegro;44;749.681.203-03;Feminino;Divorciado;stella58@example.net;0300-722-0603;Pacheco de Barbosa;SC;Volskwagen;Gol;2016;Cinza;47287,84;2024-12-10;Financiamento;40205,02;1083,72;5999,099999999999;2024-07-30;133;Luana Santos;Busca Direta;1;Pago
2382;João Felipe Alves;46;751.839.260-77;Masculino;Solteiro;fariaslaura@example.net;+55 (011) 0045 6680;da Rocha;AC;Volskwagen;T-Cross;2019;Cinza;123170,86;2024-09-27;Leasing;100550,45;0,0;22620,410000000003;2024-05-20;130;Ian Pereira;Indicação;1;Pago
2383;Ravi Lucca Silva;68;079.621.485-94;Masculino;Divorciado;xdias@example.org;+55 (031) 4223 3350;da Luz de Peixoto;MA;Peugeot;3008;2016;Cinza;123781,51;2024-05-03;Leasing;93070,72;4969,31;25741,479999999992;2024-01-15;109;Emilly Gonçalves;Outros;1;Em Atraso
2384;Vitor Oliveira;68;648.023.759-56;Masculino;Casado;maitebrito@example.net;81 7836 7140;Pacheco;PE;Citroen;C3;2022;Preto;246927,44;2024-08-31;Leasing;186028,04;3973,98;56925,41999999999;2023-12-27;248;Luna Lima;Indicação;7;Pago
2385;Davi Moreira;63;294.835.761-64;Masculino;Divorciado;portomaria-cecilia@example.com;0800 646 1952;Sá de Minas;CE;Hyundai;Creta;2023;Vermelho;50872,07;2025-04-10;Financiamento;39329,72;4041,03;7501,319999999998;2023-05-27;684;Dr. Renan Jesus;Outros;1;Em Atraso
2386;Olivia Rios;40;795.102.364-70;Feminino;Casado;andresilva@example.org;+55 31 1891-6802;Rodrigues da Prata;PB;Citroen;Basalt;2014;Verde;128911,43;2024-10-07;À vista;113028,35;5079,28;10803,799999999988;2023-10-03;370;Alexia Cavalcanti;Indicação;7;Pago
2387;Otávio Farias;42;409.312.568-60;Masculino;Casado;olivia96@example.net;11 1978-5395;da Luz;RO;Ford;Ka;2015;Prata;35486,54;2024-04-22;Financiamento;28440,47;8826,99;-1780,92;2024-04-15;7;Ian Pereira;Busca Direta;6;Cancelado
2388;Maria Rezende;32;854.739.162-28;Feminino;Viúvo;maria-isis57@example.net;(041) 1611 0268;Cassiano;RO;Ford;Focus;2015;Vermelho;43210,98;2024-10-13;À vista;37164,76;4624,4;1421,8200000000015;2023-10-24;355;Davi Lucca Novaes;Feira;3;Pago
2389;Ágatha Camargo;47;502.943.817-32;Feminino;Divorciado;marcelo75@example.org;+55 (071) 7595 2953;Nogueira da Prata;RS;Citroen;Aircross;2020;Azul;162371,31;2025-04-02;Financiamento;124000,32;890,62;37480,36999999999;2023-09-19;561;Dr. Renan Jesus;Busca Direta;5;Pago
2390;Felipe Mendes;65;480.619.352-60;Masculino;Viúvo;saraujo@example.org;(011) 7542-4487;Camargo;GO;Toyota;Yaris;2014;Branco;70907,86;2024-07-18;Financiamento;54486,66;0,0;16421,199999999997;2023-09-21;301;Emilly Gonçalves;Indicação;5;Em Atraso
2391;Joana Carvalho;41;641.705.298-20;Feminino;Viúvo;sasophia@example.net;+55 11 6044 6080;Fernandes da Prata;RS;Ford;Ecosport;2015;Branco;202801,66;2025-02-05;Leasing;181389,84;0,0;21411,820000000007;2024-07-29;191;Ian Pereira;Outros;8;Pago
2392;Caroline Farias;21;250.317.896-03;Feminino;Solteiro;saraujo@example.com;+55 (071) 5303 1187;Ramos das Pedras;PI;Citroen;C4 Grand Picasso;2019;Cinza;119406,94;2024-06-21;Financiamento;97202,18;5078,19;17126,57000000001;2024-05-12;40;Alexia Cavalcanti;Outros;3;Pago
2393;Emanuel Câmara;54;914.062.538-98;Masculino;Casado;bduarte@example.net;+55 (041) 1369-7527;Fogaça de Minas;SE;Peugeot;208;2016;Cinza;238446,03;2024-05-06;Leasing;168317,77;2365,15;67763,11000000002;2023-09-26;223;Alexia Cavalcanti;Redes Sociais;7;Pago
2394;Helena Vieira;46;341.765.809-84;Feminino;Solteiro;calmeida@example.com;21 5872-4828;Azevedo;CE;Citroen;C4 Grand Picasso;2021;Prata;185763,9;2025-01-26;Leasing;144922,52;1043,48;39797,9;2024-03-28;304;Ian Pereira;Busca Direta;2;Cancelado
2395;Júlia Oliveira;25;746.918.230-69;Feminino;Viúvo;vitor-gabrielvieira@example.org;11 1171-2035;Cavalcanti;RR;Ford;Ka Sedan;2018;Prata;217376,65;2025-03-07;Leasing;157700,57;5048,05;54628,029999999984;2023-06-16;630;Sra. Emanuelly da Cunha;Site;4;Cancelado
2396;Pedro Ribeiro;44;295.761.408-11;Masculino;Solteiro;borgesjoao-felipe@example.org;+55 41 1839 5466;Nunes de da Cunha;RN;Citroen;C3;2015;Azul;53565,74;2024-04-27;À vista;41276,12;2492,01;9797,609999999995;2024-02-03;84;Ian Pereira;Busca Direta;10;Pago
2397;Caio Siqueira;51;064.175.829-49;Masculino;Divorciado;odias@example.net;+55 (011) 4621-1707;Azevedo;TO;Volskwagen;Saveiro;2014;Vermelho;162846,64;2025-03-05;Financiamento;139551,87;0,0;23294,77000000002;2024-11-30;95;Davi Lucca Novaes;Redes Sociais;5;Em Atraso
2398;Davi Miguel Brito;69;046.295.831-06;Masculino;Casado;luisarodrigues@example.org;(031) 2781-2348;das Neves;AL;Volskwagen;Up;2013;Cinza;207157,28;2024-06-25;Financiamento;160061,85;4440,36;42655,06999999999;2024-03-15;102;Davi Lucca Novaes;Feira;3;Pago
2399;Emanuel Machado;36;261.875.340-26;Masculino;Divorciado;macedomariana@example.org;+55 (051) 1742 8007;Camargo do Campo;PI;Fiat;Mobi;2014;Prata;192213,72;2025-03-12;Leasing;149012,39;0,0;43201,32999999999;2025-01-24;47;Luna Lima;Busca Direta;4;Cancelado
2400;Samuel Carvalho;57;678.302.495-47;Masculino;Viúvo;onascimento@example.com;(081) 8563-0307;Cavalcanti;PA;Ford;Ka Sedan;2017;Cinza;127102,87;2024-05-21;À vista;103980,67;9846,03;13276,169999999996;2023-12-15;158;Sra. Emanuelly da Cunha;Redes Sociais;5;Pago
2401;Paulo Araújo;62;705.934.126-99;Masculino;Divorciado;cunhamelina@example.com;(071) 0811-7744;Fogaça;PI;Citroen;Aircross;2017;Verde;137463,27;2024-12-21;Financiamento;120012,62;0,0;17450,649999999994;2023-06-30;540;Luana Santos;Site;7;Em Atraso
2402;Marcos Vinicius Silveira;70;827.950.134-79;Masculino;Divorciado;apolloduarte@example.org;+55 (031) 1710-2880;da Luz;RR;Citroen;C3;2019;Vermelho;101492,73;2024-10-04;Financiamento;87285,27;0,0;14207,459999999992;2024-01-25;253;Luana Santos;Indicação;8;Em Atraso
2403;Melissa Gonçalves;55;427.689.153-19;Feminino;Divorciado;joao-pedroabreu@example.net;(011) 5861-1103;Pires;AC;Volskwagen;Voyage;2018;Azul;84200,28;2024-06-04;Leasing;68550,18;2262,14;13387,960000000006;2023-09-01;277;Dr. Renan Jesus;Busca Direta;4;Pago
2404;Ana Vitória Borges;20;456.023.187-71;Feminino;Casado;macedolorenzo@example.com;+55 (021) 3951 9882;Campos de Marques;AL;Chevrolet;S-10;2017;Cinza;46335,32;2024-07-08;Financiamento;41463,97;9972,24;-5100,890000000001;2023-07-31;343;Emilly Gonçalves;Redes Sociais;9;Pago
2405;Lavínia Ramos;41;075.169.832-68;Feminino;Casado;thomas50@example.com;(031) 9809-4849;Cavalcanti de Goiás;AL;Hyundai;HB20S;2019;Cinza;65796,93;2024-05-15;À vista;57286,48;8284,23;226,21999999999025;2023-10-01;227;Luna Lima;Feira;5;Pago
2406;Marina da Mota;42;159.428.760-02;Feminino;Divorciado;analeao@example.com;+55 84 7594-3492;Vieira de Alves;RR;Ford;Focus;2019;Prata;155747,19;2024-10-04;Financiamento;111996,06;3148,98;40602,15;2024-08-09;56;Alexia Cavalcanti;Indicação;8;Cancelado
2407;Maria Isis Barbosa;27;652.147.389-19;Feminino;Casado;bianca32@example.com;+55 21 2635 6732;Pacheco de Guerra;MA;Citroen;C4;2019;Cinza;95636,79;2024-12-20;Financiamento;82044,9;7242,26;6349,629999999999;2024-04-17;247;Alexia Cavalcanti;Indicação;8;Cancelado
2408;Alícia Azevedo;28;964.802.751-01;Feminino;Divorciado;rezendemaite@example.net;61 0622 7606;Borges;AL;Honda;City;2021;Azul;194913,39;2024-07-27;Financiamento;157534,83;0,0;37378,56000000003;2023-12-06;234;Davi Lucca Novaes;Outros;7;Cancelado
2409;Ana Cecília Vasconcelos;45;231.604.957-52;Feminino;Viúvo;gustavo68@example.com;0300-465-8371;Carvalho das Pedras;MT;Honda;Fit;2022;Cinza;148945,01;2024-11-07;À vista;117206,69;5805,27;25933,050000000007;2023-11-04;369;Alexia Cavalcanti;Redes Sociais;2;Pago
2410;Nathan Azevedo;26;576.129.438-91;Masculino;Solteiro;bruna13@example.com;+55 21 7835-3224;Duarte do Sul;GO;Citroen;C4 Grand Picasso;2020;Vermelho;238753,02;2024-12-21;À vista;203114,66;6108,52;29529,839999999986;2023-11-12;405;Alexia Cavalcanti;Busca Direta;9;Pago
2411;Julia Garcia;50;106.734.925-16;Feminino;Solteiro;isabellaaragao@example.org;41 5364 2068;da Rocha;AP;Peugeot;208;2020;Azul;212822,66;2025-03-18;À vista;174711,09;2767,12;35344,450000000004;2024-05-04;318;Paulo Castro;Feira;7;Pago
2412;Enrico Pinto;55;718.942.065-76;Masculino;Divorciado;heloisa56@example.com;0900-337-4959;Pacheco;AP;Peugeot;2008;2016;Vermelho;119980,31;2025-01-27;À vista;88640,22;6692,53;24647,559999999998;2024-05-23;249;Luna Lima;Indicação;6;Pago
2413;Davi Lucas Alves;62;519.074.238-50;Masculino;Divorciado;camaraguilherme@example.com;+55 (031) 1868 3597;da Cruz;RN;Citroen;C4;2013;Vermelho;34366,96;2024-06-01;Leasing;30875,18;6551,74;-3059,960000000001;2024-02-11;111;Sra. Emanuelly da Cunha;Indicação;7;Em Atraso
2414;Bella Monteiro;46;903.128.647-87;Feminino;Casado;thomas66@example.com;(051) 0414 0342;Barbosa da Praia;SP;Fiat;Cronos;2017;Vermelho;67156,44;2024-07-23;Financiamento;57793,77;0,0;9362,670000000006;2023-08-17;341;Luna Lima;Redes Sociais;7;Em Atraso
2415;Agatha Melo;35;935.624.780-38;Feminino;Solteiro;maria-juliaferreira@example.net;+55 (084) 2493 4751;Rocha Alegre;PE;Volskwagen;Virtus;2020;Branco;240902,23;2024-07-11;Financiamento;186499,59;5854,11;48548,53000000001;2023-05-23;415;Emilly Gonçalves;Site;10;Cancelado
2416;Laís Rocha;30;610.847.395-93;Feminino;Solteiro;falves@example.com;51 8955 4897;Gomes;PI;Chevrolet;Onix;2021;Vermelho;164768,32;2024-08-03;À vista;123587,3;2504,38;38676,64000000001;2023-05-22;439;Emilly Gonçalves;Redes Sociais;1;Pago
2417;Manuella Casa Grande;44;086.493.517-00;Feminino;Casado;joanavargas@example.org;81 3753 1448;Montenegro da Mata;MA;Citroen;C4;2013;Vermelho;31351,8;2025-02-04;Financiamento;26958,73;9278,18;-4885,110000000001;2024-09-02;155;Sara Pinto;Busca Direta;8;Cancelado
2418;Ana Clara da Paz;56;925.613.074-25;Feminino;Viúvo;marcos-vinicius46@example.org;51 2021 0276;Marques;RO;Citroen;Aircross;2022;Branco;189607,52;2024-06-12;Financiamento;139164,52;4955,16;45487,84;2023-11-28;197;Sra. Emanuelly da Cunha;Indicação;1;Cancelado
2419;Samuel Macedo;42;465.817.930-00;Masculino;Divorciado;mmarques@example.com;+55 (061) 1246 7261;Rios;SP;Ford;Focus;2014;Azul;77788,77;2024-08-13;À vista;62502,39;0,0;15286,380000000005;2024-01-12;214;Sra. Emanuelly da Cunha;Busca Direta;1;Pago
2420;Ana Carolina Vieira;31;035.421.697-06;Feminino;Solteiro;macedojoao-pedro@example.com;84 7987-8259;Nascimento;PA;Fiat;Fastback;2014;Vermelho;58970,25;2024-09-10;À vista;42594,82;7733,9;8641,53;2023-07-04;434;Dr. Renan Jesus;Redes Sociais;4;Pago
2421;José Costela;30;372.894.105-05;Masculino;Divorciado;nascimentomurilo@example.net;+55 (061) 4970 3912;Farias da Prata;AC;Jeep;Renegade;2013;Verde;83028,65;2024-08-03;Financiamento;62115,76;9297,97;11614,919999999993;2023-06-13;417;Paulo Castro;Feira;4;Em Atraso
2422;Matteo Mendes;63;109.245.687-20;Masculino;Casado;ynunes@example.org;0900-451-4341;Mendonça;GO;Jeep;Compass;2021;Branco;121939,98;2025-03-16;À vista;96805,31;6633,84;18500,829999999998;2024-08-15;213;Alexia Cavalcanti;Site;2;Pago
2423;Maya da Paz;42;691.382.450-51;Feminino;Solteiro;portolais@example.com;41 5998-3014;Fonseca Grande;RN;Hyundai;Creta;2023;Azul;144495,27;2024-12-24;À vista;115715,17;1432,75;27347,34999999999;2024-09-26;89;Dr. Renan Jesus;Indicação;10;Pago
2424;Mariah da Cruz;54;548.792.130-04;Feminino;Viúvo;kamilly37@example.org;51 6156 2162;Pacheco das Flores;PA;Peugeot;3008;2020;Cinza;206731,34;2024-10-20;À vista;151362,76;0,0;55368,57999999999;2023-12-05;320;Paulo Castro;Busca Direta;7;Pago
2425;Camila Almeida;33;537.604.812-80;Feminino;Divorciado;zaraujo@example.org;0800 872 0524;Novaes;AL;Ford;Ka;2016;Azul;141451,53;2025-02-18;À vista;124599,32;5815,7;11036,509999999991;2024-06-22;241;Sra. Emanuelly da Cunha;Feira;10;Pago
2426;Josué Sousa;39;834.650.712-71;Masculino;Casado;sampaionathan@example.net;+55 81 2675 4187;Teixeira da Mata;DF;Chevrolet;Onix;2019;Cinza;42008,77;2024-08-05;Financiamento;35183,85;0,0;6824,919999999998;2024-01-11;207;Ian Pereira;Indicação;4;Cancelado
2427;Murilo Aragão;50;201.635.847-53;Masculino;Casado;ana76@example.org;+55 31 6296-0818;Castro;AC;Peugeot;Partner;2020;Verde;168018,68;2025-02-15;À vista;127642,12;7341,45;33035,11;2024-06-04;256;Davi Lucca Novaes;Outros;2;Pago
2428;Ana Julia Martins;65;126.349.780-22;Feminino;Solteiro;aparecidaclarice@example.org;+55 (051) 7585-4356;Fernandes das Flores;DF;Peugeot;Partner;2020;Cinza;144621,01;2024-08-01;Financiamento;105234,61;3895,68;35490,72000000001;2024-05-28;65;Sara Pinto;Indicação;3;Pago
2429;Ana Vitória Guerra;70;279.410.536-16;Feminino;Divorciado;nfernandes@example.com;+55 21 9304 0214;da Rocha;RN;Ford;Ecosport;2018;Cinza;110403,82;2024-09-17;Financiamento;78353,55;0,0;32050,270000000004;2023-05-10;496;Paulo Castro;Redes Sociais;4;Em Atraso
2430;Ana Clara Almeida;53;879.154.062-30;Feminino;Viúvo;bfernandes@example.net;84 9877 6234;Martins;RN;Citroen;C3;2013;Cinza;114591,96;2024-07-21;Financiamento;81145,81;0,0;33446,15000000001;2024-03-01;142;Luna Lima;Feira;9;Em Atraso
2431;José Miguel Silva;64;561.873.049-93;Masculino;Solteiro;lalbuquerque@example.net;41 5487-8574;Vieira;RO;Volskwagen;Up;2020;Prata;233766,8;2025-04-15;Financiamento;197397,09;3713,22;32656,48999999999;2025-01-06;99;Sara Pinto;Feira;8;Em Atraso
2432;Beatriz Rocha;47;741.320.869-50;Feminino;Casado;enrico48@example.com;(071) 2867 2779;Rezende;SE;Hyundai;Creta;2020;Branco;101670,44;2024-08-16;Financiamento;75723,89;4394,57;21551,980000000003;2023-06-24;419;Emilly Gonçalves;Feira;1;Cancelado
2433;Théo da Mata;50;350.491.768-75;Masculino;Viúvo;ana-julia96@example.net;+55 41 3696 0731;Sales Grande;PE;Ford;Focus;2013;Branco;55363,18;2025-04-11;À vista;46908,9;0,0;8454,279999999999;2024-10-26;167;Emilly Gonçalves;Site;2;Pago
2434;Pietra Marques;47;185.374.290-23;Feminino;Casado;emilly40@example.com;+55 61 2123-1376;Porto de Garcia;TO;Hyundai;Tucson;2016;Branco;248797,2;2024-12-11;Leasing;174221,94;1318,13;73257,13;2024-09-30;72;Paulo Castro;Indicação;2;Pago
